u,v,length_m,node_owner_u,node_owner_v,node_network_owner,edge_point_owner,is_boundary_edge
9593601,9593613,76.51870844340903,Seed_3,Seed_3,Seed_3,Seed_3,False
9593601,345800529,182.3732728887803,Seed_3,Seed_3,Seed_3,Seed_3,False
321854,247782201,439.5246459308872,Seed_3,Seed_3,Seed_3,Seed_3,False
247782201,413252711,180.9911887461385,Seed_3,Seed_3,Seed_3,Seed_3,False
321855,247782279,493.280943297246,Seed_3,Seed_3,Seed_3,Seed_3,False
350831,402972859,4280.591626868596,Seed_3,Seed_3,Seed_3,Seed_3,False
350831,19033290,286.93607714651995,Seed_3,Seed_3,Seed_3,Seed_3,False
350831,1599697537,742.0452914412641,Seed_3,Seed_3,Seed_3,Seed_3,False
402972859,9782915,516.2374986796416,Seed_3,Seed_3,Seed_3,Seed_3,False
402972859,1599661250,843.2727301566291,Seed_3,Seed_3,Seed_3,Seed_3,False
350916,350822,4283.640610163422,Seed_3,Seed_3,Seed_3,Seed_3,False
350916,4552368639,589.2743764087855,Seed_3,Seed_3,Seed_3,Seed_3,False
350916,268193674,943.5007853325567,Seed_3,Seed_3,Seed_3,Seed_3,False
350945,11975633251,216.42979764179032,Seed_3,Seed_3,Seed_3,Seed_3,False
350945,1599656486,629.1982430638974,Seed_3,Seed_3,Seed_3,Seed_3,False
350945,1599661250,493.3899609353341,Seed_3,Seed_3,Seed_3,Seed_3,False
11975633251,3153207992,45.81973104314048,Seed_3,Seed_3,Seed_3,Seed_3,False
11975633251,11975633256,152.28014185788,Seed_3,Seed_3,Seed_3,Seed_3,False
1599656486,3153467251,648.231679069996,Seed_3,Seed_3,Seed_3,Seed_3,False
1599656486,1599664982,287.3655090675891,Seed_3,Seed_3,Seed_3,Seed_3,False
350950,1599666771,627.3446692841092,Seed_3,Seed_3,Seed_3,Seed_3,False
350950,1599664984,287.04878030590106,Seed_3,Seed_3,Seed_3,Seed_3,False
350950,1596707267,826.943558934048,Seed_3,Seed_3,Seed_3,Seed_3,False
1599666771,268193674,493.52392085298584,Seed_3,Seed_3,Seed_3,Seed_3,False
1599666771,9787537,253.19296984456554,Seed_3,Seed_3,Seed_3,Seed_3,False
1599664984,9787529,26.612581201250173,Seed_3,Seed_3,Seed_3,Seed_3,False
1599664984,12154414528,103.18706254825258,Seed_3,Seed_3,Seed_3,Seed_3,False
1599664984,1599664982,112.33428367759025,Seed_3,Seed_3,Seed_3,Seed_3,False
350966,1833014682,326.52621810058935,Seed_3,Seed_3,Seed_3,Seed_3,False
350966,1596707302,235.57822242833598,Seed_3,Seed_3,Seed_3,Seed_3,False
350966,3153467251,180.25497233148508,Seed_3,Seed_3,Seed_3,Seed_3,False
1833014682,942439910,35.31747651898047,Seed_3,Seed_3,Seed_3,Seed_3,False
1833014682,389485381,28.879506509440567,Seed_3,Seed_3,Seed_3,Seed_3,False
1596707302,50032501,944.3866797287951,Seed_3,Seed_3,Seed_3,Seed_3,False
1596707302,2484909550,520.9944641083716,Seed_3,Seed_3,Seed_3,Seed_3,False
601413,1590365895,7.126612947596778,Seed_3,Seed_3,Seed_3,Seed_3,False
601413,601438,544.24476164868,Seed_3,Seed_3,Seed_3,Seed_3,False
601413,1590365712,157.67712489275362,Seed_3,Seed_3,Seed_3,Seed_3,False
1590365895,1590365760,87.23233252120058,Seed_3,Seed_3,Seed_3,Seed_3,False
601438,1574723002,1194.200345584695,Seed_3,Seed_3,Seed_3,Seed_3,False
1574723002,1590365718,592.3509385738497,Seed_3,Seed_3,Seed_3,Seed_3,False
601478,299389281,27.120015028322108,Seed_3,Seed_3,Seed_3,Seed_3,False
601478,299389151,58.95753242527144,Seed_3,Seed_3,Seed_3,Seed_3,False
601478,30983690,59.099988268862106,Seed_3,Seed_3,Seed_3,Seed_3,False
299389281,299389086,206.6368222718271,Seed_3,Seed_3,Seed_3,Seed_3,False
299389281,1590365726,120.92400940819638,Seed_3,Seed_3,Seed_3,Seed_3,False
299389151,299389224,20.10962394292643,Seed_3,Seed_3,Seed_3,Seed_3,False
299389151,30983690,11.744784792099232,Seed_3,Seed_3,Seed_3,Seed_3,False
299389151,1590365725,82.81370699083838,Seed_3,Seed_3,Seed_3,Seed_3,False
610944,8341182883,353.4158683919872,Seed_4,Seed_4,Seed_4,Seed_4,False
8341182883,7856458760,23.54397247038085,Seed_4,Seed_4,Seed_4,Seed_4,False
8341182883,610955,17.006677812233924,Seed_4,Seed_4,Seed_4,Seed_4,False
610955,7856458760,27.57859565668664,Seed_4,Seed_4,Seed_4,Seed_4,False
610955,316787870,884.6018467409378,Seed_4,Seed_4,Seed_4,Seed_4,False
7856458760,610959,413.5139654139852,Seed_4,Seed_4,Seed_4,Seed_4,False
316787870,1940648278,147.57924979207692,Seed_4,Seed_4,Seed_4,Seed_4,False
316787870,1940457554,69.92097945478076,Seed_4,Seed_4,Seed_4,Seed_4,False
610959,1940360473,16.579255921842083,Seed_4,Seed_4,Seed_4,Seed_4,False
