node_id,x,y,planar_owner,node_network_owner,street_count
3466888,436910.78363487194,433613.4867913496,Seed_4,Seed_4,3
3466900,436918.64919877064,433646.91714644874,Seed_4,Seed_4,3
940354793,436997.583508401,433596.79086863727,Seed_4,Seed_4,3
3466914,436884.34263898997,433666.252243603,Seed_4,Seed_4,3
3467311,436127.7379943414,434768.38804685255,Seed_4,Seed_4,3
26662916,436109.2986875542,434775.18899443746,Seed_4,Seed_4,3
3467321,436152.71050787397,434720.5472619295,Seed_4,Seed_4,4
5191656447,436148.1993731285,434735.9227306021,Seed_4,Seed_4,3
5191656448,436134.264531773,434714.50804999145,Seed_4,Seed_4,3
3467478,436169.1319338721,434723.52226500283,Seed_4,Seed_4,4
5446690553,436172.77803344245,434636.7300940568,Seed_4,Seed_4,3
939206860,436203.64828251256,434717.4242058329,Seed_4,Seed_4,3
3467912,436090.3749211734,435540.5599233407,Seed_4,Seed_4,3
10439707,436081.3589218556,435545.93141216063,Seed_4,Seed_4,3
3467921,436079.5888296943,435581.72299530765,Seed_4,Seed_4,3
6854093016,436044.22212257585,435777.22246359114,Seed_4,Seed_4,3
10439687,436104.1465190956,435589.71173498675,Seed_4,Seed_4,3
3468054,435847.71476151876,436450.0733493945,Seed_4,Seed_4,3
7934788508,435869.25014248636,436430.9224031288,Seed_4,Seed_4,3
1056671962,435795.41675036936,436724.3325528009,Seed_4,Seed_4,3
3468335,434822.1395172209,437966.6666594178,Seed_4,Seed_2,3
1056672079,434811.31123847683,437962.5695161432,Seed_4,Seed_2,3
3468343,435042.45780148194,437766.28443669796,Seed_4,Seed_4,3
689443788,435180.7616331703,437623.77714660275,Seed_4,Seed_4,3
1056672081,434844.88884131075,437955.34205965174,Seed_4,Seed_2,3
571297304,435113.40977811464,437836.7237032439,Seed_4,Seed_2,4
3468361,435292.24934253463,437497.52801907505,Seed_4,Seed_4,3
453392621,435461.3132280919,437288.8685295717,Seed_4,Seed_4,3
6528425020,435329.6106063235,437531.99031241005,Seed_4,Seed_4,3
3468517,434792.7474512911,437970.3648615391,Seed_4,Seed_2,3
1056672060,434785.9464564913,437992.90125229396,Seed_4,Seed_2,3
3468704,434340.07752388646,437062.31664131186,Seed_4,Seed_4,3
973581284,434640.01002566953,437500.0382824673,Seed_4,Seed_2,3
1944734464,434273.1155405541,437021.837839114,Seed_4,Seed_4,3
3468735,434270.1182856226,437032.953565861,Seed_4,Seed_4,3
3468751,434233.06931791984,437037.94567800476,Seed_4,Seed_4,3
1944734463,434244.9390744014,437036.7973392836,Seed_4,Seed_4,3
789666763,433951.3112921475,437102.6554336271,Seed_4,Seed_4,4
3469066,433321.3642655009,437240.8323319522,Seed_4,Seed_3,3
789666851,433341.8467828294,437335.3195317001,Seed_4,Seed_3,1
3469084,433030.1616501297,437108.30217588635,Seed_4,Seed_3,3
789667082,433422.48198224336,437239.26018311013,Seed_4,Seed_3,3
2045077179,433010.3627994729,437091.4173569104,Seed_4,Seed_3,3
2045077172,433099.5999158781,437069.7157408381,Seed_4,Seed_3,3
3469289,432685.4752555147,436992.5964568121,Seed_4,Seed_3,3
49512358,433024.1722814884,437353.9550381985,Seed_4,Seed_3,3
11652687674,432660.5818671765,436928.1898438912,Seed_4,Seed_3,3
3471202,432721.99244884274,438296.63047046424,Seed_4,Seed_3,3
1601550785,433046.4563781262,438296.9268954663,Seed_4,Seed_3,1
3471208,432731.566878148,438376.7413567981,Seed_4,Seed_3,3
603330168,432662.39725695713,437993.8300334669,Seed_4,Seed_3,3
3471215,432728.15898706357,438438.81454030564,Seed_2,Seed_3,3
248018262,432848.2588069642,438720.06507549214,Seed_2,Seed_2,4
6585549372,432725.95624746324,438467.78368560073,Seed_2,Seed_3,3
247963386,432639.9671128976,438392.8700557954,Seed_2,Seed_3,3
3471222,432709.4611547077,438564.6359559777,Seed_2,Seed_3,3
249728054,432680.1267300237,438597.6772539143,Seed_2,Seed_3,3
248018261,432774.37948530895,438633.50645005074,Seed_2,Seed_2,3
3471236,432563.59718301496,438698.41751705087,Seed_2,Seed_3,3
1422930721,432546.4855354369,438709.38061838434,Seed_2,Seed_3,3
1626559112,432579.1164689445,438684.6284013367,Seed_2,Seed_3,3
248018386,432693.77565184666,438819.0229697061,Seed_2,Seed_3,3
3471381,430782.62585045776,438590.41413215105,Seed_3,Seed_3,4
249732577,430710.2011576986,438575.0406802322,Seed_3,Seed_3,3
703828711,430768.5105265592,438444.24225747737,Seed_3,Seed_3,3
