accident_row,u,v,key,edge_length_m,distance_to_u_m,distance_to_v_m,nearest_intersection_distance_m,edge_fraction_to_nearest_intersection
375,342628235,5728993689,0,99.96040795153901,17.892601148275748,82.06780680326327,17.892601148275748,0.1789968800142364
376,9235707984,9235707993,0,52.07232036380669,26.004871675408555,26.067448688398134,26.004871675408555,0.4993991336226965
377,643929,643930,0,136.676534774817,10.236895801034237,126.43963897378275,10.236895801034237,0.07489870750601157
378,643929,643930,0,136.676534774817,10.236895801034237,126.43963897378275,10.236895801034237,0.07489870750601157
379,643929,643930,0,136.676534774817,10.236895801034237,126.43963897378275,10.236895801034237,0.07489870750601157
380,9755805559,10563335063,0,99.88782334633278,99.88782334633278,0.0,0.0,0.0
381,1022749752,26661432,0,166.48810798653983,88.81918385079439,77.66892413574544,77.66892413574544,0.4665133448571882
382,643929,643930,0,136.676534774817,85.43941600427416,51.23711877054282,51.23711877054282,0.3748786787355937
383,10563335054,5728993698,0,111.98019278156458,91.31710058130709,20.663092200257495,20.663092200257495,0.1845245278382775
384,10563335054,5728993698,0,111.98019278156458,91.31710058130709,20.663092200257495,20.663092200257495,0.1845245278382775
385,342628235,682264890,0,123.28715661209853,6.880986440674463,116.40617017142407,6.880986440674463,0.05581267854464584
386,9755805559,10563335063,0,99.88782334633278,48.656508024244985,51.231315322087795,48.656508024244985,0.48711150562909256
387,301689321,26300437,0,164.86638173456265,131.69056197210278,33.17581976245987,33.17581976245987,0.20122853072540547
388,301689321,26300437,0,164.86638173456265,131.69056197210278,33.17581976245987,33.17581976245987,0.20122853072540547
389,301689321,26300437,0,164.86638173456265,131.69056197210278,33.17581976245987,33.17581976245987,0.20122853072540547
390,26661432,342628235,0,63.1530776079258,42.222539858036605,20.930537749889197,20.930537749889197,0.33142545925999944
391,342628235,5728993689,0,99.96040795153901,5.598935544590062,94.36147240694895,5.598935544590062,0.05601153155861905
392,370191920,52162718,0,425.1983977753118,279.4694090641578,145.728988711154,145.728988711154,0.3427317446952417
393,370191920,52162718,0,425.1983977753118,279.4694090641578,145.728988711154,145.728988711154,0.3427317446952417
394,370191920,52162718,0,425.1983977753118,279.4694090641578,145.728988711154,145.728988711154,0.3427317446952417
