u,v,key,length,accident_count
317020314,317020310,0,47.7977491423915,0
317020317,317020310,0,24.54808713972843,0
317020319,317020298,0,14.573260292416855,0
317020319,317020322,0,14.479812341452948,0
317020319,316814426,0,129.59115821030963,0
317020322,317020319,0,14.479812341452948,0
317020449,317087861,0,71.86114114027197,0
317020454,317087861,0,34.670242753146255,1
317020454,317087866,0,31.622024622623208,3
317032918,316814373,0,148.65189254410612,0
317032944,317032945,0,20.867855251885533,0
317032945,317032944,0,20.867855251885533,0
317032945,249203218,0,29.754093415705736,0
317032945,317032947,0,72.49298651454124,0
317032947,317032945,0,72.49298651454126,0
317032947,4842036912,0,42.47962629131453,2
317036512,316814426,0,45.610688714746985,0
317087679,320952835,0,163.9107075693451,1
317087679,321000275,0,56.611154968570105,0
317087689,320951154,0,51.23966908702511,2
317087861,317020449,0,71.86114114027197,0
317087861,317087866,0,29.715517199101107,0
317087866,6047609627,0,11.312013769140293,0
317112656,8173378047,0,3.4192077582144593,0
317442075,2377604559,0,18.845051618456434,1
317442075,1020737722,0,12.265037081251748,0
317442076,2377604535,0,92.17844904979466,0
320943570,321000277,0,29.08388349006883,0
320943570,342579502,0,46.80653818469814,0
320951154,643929,0,8.813138192517716,0
320952835,342626318,0,49.82014450307459,2
320952839,320943570,0,123.89220524592007,2
320952839,320952835,0,101.53396987611757,1
320959781,320959787,0,34.80932966663182,0
320959781,474056888,0,99.45918409338806,0
320959787,320959781,0,34.80932966663182,0
321000275,317087689,0,11.748593360709146,0
321000275,321000277,0,31.60411612059722,0
321000277,317087689,0,20.677064148920913,1
321000277,321000275,0,31.60411612059722,0
340480304,340480305,0,9.049841052169885,0
342529332,26298428,0,41.20130308479903,1
342579502,5728993698,0,95.7197650342194,3
342579502,320951154,0,103.0610607081563,4
342579538,342579667,0,25.790692404400268,0
342579557,342579559,0,16.091704908049962,0
342579559,342579565,0,43.42673161562625,0
342579559,342579557,0,16.091704908049962,0
342579559,1591164975,0,11.382097503723445,0
342579565,342579559,0,43.42673161562625,0
342579565,7241259895,0,27.76597219466072,0
342579565,1020737635,0,87.26130783731159,0
342579576,26298425,0,75.23213031395751,0
342579576,342579578,0,40.506196299806625,0
342579578,342579580,0,51.70465938125941,0
342579580,9791722,0,27.60974241231485,0
342579580,342579586,0,38.279743246159825,1
342579586,342579596,0,54.883248812017825,0
342579586,342579580,0,38.279743246159825,0
342579586,342579609,0,47.75836906365198,0
342579596,342579586,0,54.883248812017825,0
342579609,342579586,0,47.75836906365198,0
342579616,26298428,0,72.90252399083887,0
342579616,26298426,0,27.505843776801527,0
342579667,26300437,0,42.31361034102832,2
342579667,342579538,0,25.790692404400268,2
342620628,762669698,0,177.22094796535416,11
342620628,51458932,0,55.234410702765366,1
342620632,2377604538,0,8.520060493584985,0
342620632,4842036915,0,68.45965672696074,0
342620651,1020737722,0,18.29857376342074,3
342626318,955003902,0,36.0204581301366,3
342626322,611055,0,95.57933996774779,0
342626322,342626318,0,41.15611369865368,0
342628235,5728993707,0,12.27631670848899,0
342628235,682264890,0,123.18100276734256,13
342628235,5728993689,0,99.67890347758987,30
342660306,26296951,0,145.47671249676634,10
342660313,52167301,0,85.59591394447745,5
342660313,9077392916,0,42.2296917025415,2
342660331,342660345,0,92.71161578552349,1
342660331,342660345,1,91.41323213700895,1
342660345,342660313,0,47.304286058402916,3
342660357,26296956,0,9.054378494090999,1
342660357,52162718,0,177.0887852596405,2
358204009,358204014,0,191.94111551549187,0
358204009,10439948,0,693.0293215781891,1
358204014,5728993829,0,209.0350537995695,0
370191920,1743296708,0,250.00232326583466,1
370191920,52162718,0,424.3155122347921,4
373299629,474665273,0,34.936223324697586,0
373299629,9823004,0,30.453346639027657,0
395469494,249813619,0,39.84777649931187,0
395469494,395469497,0,21.43753047287864,0
395469497,395469494,0,21.43753047287864,0
395471671,395471672,0,11.32843060147737,0
395471671,1591373213,0,65.31682260596281,0
395471672,395471671,0,11.32843060147737,0
395471672,395469497,0,46.07427246931933,0
395471672,249813619,0,33.78166753409178,3
474056888,320959781,0,99.45918409338807,0
474665273,5728993689,0,115.70515482018251,8
615978081,1569761300,0,18.901827226066402,1
615978081,1569783677,0,20.887012084532927,0
659971029,6211583013,0,93.3221438844556,0
659971029,1022749752,0,114.16866290137615,2
659985459,1606959380,0,96.71381490195617,4
659985459,643851,0,27.380908255451274,7
682264890,643914,0,116.05711449409321,6
682264890,26661423,0,33.83037827996361,1
762669698,51458926,0,18.684945202495772,2
762669698,342620651,0,103.55150653129125,1
921265743,9405615106,0,300.8213037842363,2
955003902,611057,0,8.103606945523104,1
955003902,1606959387,0,4.677439567497212,0
1020030657,955003902,0,16.86997451702673,0
1020030657,1606959335,0,44.885538090328325,7
1020737601,2377604550,0,27.734227467154053,0
1020737601,1606819527,0,12.689697094031565,0
1020737635,9823016,0,5.224554192661948,0
1020737635,342579565,0,87.26130783731159,0
1020737635,7261160018,0,37.2511794000926,0
1020737722,9823016,0,19.26656314666533,1
1022749752,26661432,0,166.31425281718725,13
1152092910,1569761300,0,28.44437356244456,0
1152092910,615978081,0,21.17531900680299,0
1296601330,12437916586,0,43.19578707657724,0
1296601330,5506378741,0,173.01702036767688,0
1296601330,1569761300,0,38.48481855932984,0
1569761300,1296601330,0,38.484818559329845,0
1569761300,1569783677,0,22.397499388471285,0
1569783677,643951,0,39.55114141022611,0
1591164975,342579559,0,11.382097503723445,0
1591373192,26298438,0,70.16550676121116,2
1591373193,26298441,0,14.614563341723509,0
1591373193,26298442,0,38.47869117262847,0
1591373193,6592118493,0,371.78036740560856,0
1591373212,1591373215,0,49.99173916420469,0
1591373212,1790247689,0,32.45289878269012,0
1591373213,1591373215,0,6.843351292699805,0
1591373213,395471671,0,65.31682260596281,3
1591373213,26298441,0,110.8460975604765,3
1591373215,1591373213,0,6.843351292699805,0
1591373215,52754197,0,273.2625917092238,0
1600382025,4029217601,0,34.261958068450426,2
1600382025,1600382058,0,33.040177794425766,0
1600382058,342660327,0,57.95619062731751,0
1606819527,342579565,0,58.14700443587104,1
1606819527,2377604550,0,17.466966346889404,1
1606959335,342626322,0,18.923680805650793,2
1606959380,1020030657,0,9.439417246160298,2
1606959380,1606959387,0,14.118024587193027,0
1606959387,611057,0,5.198382997387646,0
1606959387,659985459,0,88.50549138233441,2
1675168064,9791699,0,18.033943825498728,0
1675168064,8273166694,0,20.5715214428348,0
1743296708,1743296713,0,10.797559423688577,0
1743296708,4621501025,0,18.252164225184202,0
1743296713,1743296736,0,13.467490578376642,0
1743296736,52351597,0,18.52350408229852,7
1743296736,10624200325,0,14.65370254932315,0
1743296786,52162344,0,21.40134778452951,1
1743296786,52350420,0,22.634236946457158,0
1743296800,52167543,0,2.931200761497125,0
1790247689,1591373212,0,32.45289878269012,0
2014304918,9791699,0,27.503005592366655,0
2014304918,1675168064,0,26.947218467427746,1
2377604535,2377604584,0,9.506289879513094,0
2377604535,317442076,0,92.17844904979466,0
2377604538,9794307,0,47.566298203207936,0
2377604538,342620628,0,60.392974704604214,2
2377604543,9794307,0,29.205854119940426,0
2377604543,2377604544,0,38.75782685196604,0
2377604550,342620651,0,53.85938372735552,0
2377604559,51458926,0,102.11764031934035,1
2377604580,2377604535,0,42.699284738056434,0
2377604580,317442075,0,27.110305685257227,2
2377604584,2377604559,0,30.78106486006122,0
2377604584,317442075,0,24.43424087879636,3
3149003649,10592471555,0,57.850324473898354,0
3149003649,10592477256,0,15.328151914421408,0
3149003649,9235707984,0,13.628459654555293,0
3181227677,26661450,0,27.65585296701906,0
3181227677,3181227681,0,27.523895427652178,0
3181227681,9823004,0,143.45056996248917,2
3381506666,3381506667,0,20.359725182584945,1
3381506666,643951,0,80.26526721587099,1
3381506667,615978081,0,39.27505889233436,0
3381506667,358204014,0,176.20520792536766,0
4029217601,342660313,0,10.908734486549458,3
4029217601,1600382058,0,24.177751256763464,1
4540786888,643946,0,1.9880589653813254,0
4621501025,1743296713,0,22.705389576014788,0
4842036912,51458940,0,132.69456299479094,2
4842036915,51458932,0,19.762811588923725,2
4842036915,317032947,0,35.130546685992286,0
5506378741,1296601330,0,173.0170203676769,0
5506378742,26661448,0,66.50265835436048,0
5728993689,3181227681,0,25.681280270203544,1
5728993689,3181227677,0,26.96594526432473,0
5728993698,9319419235,0,28.904991124686802,4
5728993698,10563335054,0,111.6512823676708,2
5728993707,6309354601,0,43.48632038556236,2
