dataset,run,step,susceptible,infected,recovered
BOT_REQUESTS,47,0,517,2,0
BOT_REQUESTS,47,1,516,3,0
BOT_REQUESTS,47,2,497,21,1
BOT_REQUESTS,47,3,404,111,4
BOT_REQUESTS,47,4,255,230,34
BOT_REQUESTS,47,5,178,235,106
BOT_REQUESTS,47,6,149,190,180
BOT_REQUESTS,48,0,517,2,0
BOT_REQUESTS,48,1,516,3,0
BOT_REQUESTS,48,2,515,2,2
BOT_REQUESTS,48,3,506,11,2
BOT_REQUESTS,48,4,453,61,5
BOT_REQUESTS,48,5,303,195,21
BOT_REQUESTS,48,6,210,224,85
BOT_REQUESTS,49,0,517,2,0
BOT_REQUESTS,49,1,516,2,1
BOT_REQUESTS,49,2,513,5,1
BOT_REQUESTS,49,3,505,10,4
BOT_REQUESTS,49,4,403,112,4
BOT_REQUESTS,49,5,242,247,30
BOT_REQUESTS,49,6,160,252,107
BOT_REQUESTS,50,0,517,2,0
BOT_REQUESTS,50,1,516,3,0
BOT_REQUESTS,50,2,514,3,2
BOT_REQUESTS,50,3,459,57,3
BOT_REQUESTS,50,4,287,217,15
BOT_REQUESTS,50,5,181,256,82
BOT_REQUESTS,50,6,143,209,167
BOT_REQUESTS,51,0,517,2,0
BOT_REQUESTS,51,1,516,2,1
BOT_REQUESTS,51,2,514,4,1
BOT_REQUESTS,51,3,506,10,3
BOT_REQUESTS,51,4,421,93,5
BOT_REQUESTS,51,5,257,229,33
BOT_REQUESTS,51,6,177,247,95
BOT_REQUESTS,52,0,517,2,0
BOT_REQUESTS,52,1,517,2,0
BOT_REQUESTS,52,2,517,2,0
BOT_REQUESTS,52,3,517,2,0
BOT_REQUESTS,52,4,515,3,1
BOT_REQUESTS,52,5,503,15,1
BOT_REQUESTS,52,6,458,56,5
BOT_REQUESTS,53,0,517,2,0
BOT_REQUESTS,53,1,516,3,0
BOT_REQUESTS,53,2,514,3,2
BOT_REQUESTS,53,3,505,9,5
BOT_REQUESTS,53,4,472,38,9
BOT_REQUESTS,53,5,351,147,21
BOT_REQUESTS,53,6,227,216,76
BOT_REQUESTS,54,0,517,2,0
BOT_REQUESTS,54,1,517,1,1
BOT_REQUESTS,54,2,516,2,1
BOT_REQUESTS,54,3,514,2,3
BOT_REQUESTS,54,4,501,13,5
BOT_REQUESTS,54,5,436,73,10
BOT_REQUESTS,54,6,281,205,33
BOT_REQUESTS,55,0,517,2,0
BOT_REQUESTS,55,1,516,2,1
BOT_REQUESTS,55,2,513,4,2
BOT_REQUESTS,55,3,474,41,4
BOT_REQUESTS,55,4,330,175,14
BOT_REQUESTS,55,5,242,215,62
BOT_REQUESTS,55,6,172,219,128
BOT_REQUESTS,56,0,517,2,0
BOT_REQUESTS,56,1,516,2,1
BOT_REQUESTS,56,2,515,3,1
BOT_REQUESTS,56,3,511,4,4
BOT_REQUESTS,56,4,472,43,4
BOT_REQUESTS,56,5,322,179,18
BOT_REQUESTS,56,6,219,224,76
BOT_REQUESTS,57,0,517,2,0
BOT_REQUESTS,57,1,517,2,0
BOT_REQUESTS,57,2,516,2,1
BOT_REQUESTS,57,3,500,18,1
BOT_REQUESTS,57,4,440,71,8
BOT_REQUESTS,57,5,273,224,22
BOT_REQUESTS,57,6,180,241,98
BOT_REQUESTS,58,0,517,2,0
BOT_REQUESTS,58,1,517,2,0
BOT_REQUESTS,58,2,515,2,2
BOT_REQUESTS,58,3,507,10,2
BOT_REQUESTS,58,4,459,55,5
BOT_REQUESTS,58,5,325,173,21
BOT_REQUESTS,58,6,222,227,70
BOT_REQUESTS,59,0,517,2,0
BOT_REQUESTS,59,1,515,3,1
BOT_REQUESTS,59,2,510,7,2
BOT_REQUESTS,59,3,499,17,3
BOT_REQUESTS,59,4,449,64,6
BOT_REQUESTS,59,5,292,206,21
BOT_REQUESTS,59,6,191,249,79
BOT_REQUESTS,60,0,517,2,0
BOT_REQUESTS,60,1,516,2,1
BOT_REQUESTS,60,2,513,5,1
BOT_REQUESTS,60,3,507,8,4
BOT_REQUESTS,60,4,472,41,6
BOT_REQUESTS,60,5,310,193,16
BOT_REQUESTS,60,6,193,248,78
BOT_REQUESTS,61,0,517,2,0
BOT_REQUESTS,61,1,516,2,1
BOT_REQUESTS,61,2,508,8,3
BOT_REQUESTS,61,3,418,94,7
BOT_REQUESTS,61,4,276,210,33
BOT_REQUESTS,61,5,189,241,89
BOT_REQUESTS,61,6,163,182,174
BOT_REQUESTS,62,0,517,2,0
BOT_REQUESTS,62,1,515,4,0
BOT_REQUESTS,62,2,507,12,0
BOT_REQUESTS,62,3,412,102,5
BOT_REQUESTS,62,4,269,217,33
BOT_REQUESTS,62,5,198,234,87
BOT_REQUESTS,62,6,165,198,156
BOT_REQUESTS,63,0,517,2,0
BOT_REQUESTS,63,1,516,3,0
BOT_REQUESTS,63,2,510,9,0
BOT_REQUESTS,63,3,396,119,4
BOT_REQUESTS,63,4,271,201,47
BOT_REQUESTS,63,5,217,203,99
BOT_REQUESTS,63,6,187,172,160
BOT_REQUESTS,64,0,517,2,0
BOT_REQUESTS,64,1,516,2,1
BOT_REQUESTS,64,2,511,7,1
BOT_REQUESTS,64,3,451,64,4
BOT_REQUESTS,64,4,286,216,17
BOT_REQUESTS,64,5,185,245,89
BOT_REQUESTS,64,6,144,212,163
BOT_REQUESTS,65,0,517,2,0
BOT_REQUESTS,65,1,516,3,0
BOT_REQUESTS,65,2,512,5,2
BOT_REQUESTS,65,3,466,51,2
BOT_REQUESTS,65,4,304,195,20
BOT_REQUESTS,65,5,230,209,80
BOT_REQUESTS,65,6,199,170,150
BOT_REQUESTS,66,0,517,2,0
BOT_REQUESTS,66,1,515,3,1
BOT_REQUESTS,66,2,500,17,2
BOT_REQUESTS,66,3,408,105,6
BOT_REQUESTS,66,4,271,216,32
BOT_REQUESTS,66,5,202,228,89
BOT_REQUESTS,66,6,162,200,157
BOT_REQUESTS,67,0,517,2,0
BOT_REQUESTS,67,1,516,2,1
BOT_REQUESTS,67,2,513,4,2
BOT_REQUESTS,67,3,493,23,3
BOT_REQUESTS,67,4,398,112,9
BOT_REQUESTS,67,5,236,243,40
BOT_REQUESTS,67,6,165,238,116
BOT_REQUESTS,68,0,517,2,0
BOT_REQUESTS,68,1,517,0,2
BOT_REQUESTS,68,2,517,0,2
BOT_REQUESTS,68,3,517,0,2
BOT_REQUESTS,68,4,517,0,2
BOT_REQUESTS,68,5,517,0,2
BOT_REQUESTS,68,6,517,0,2
BOT_REQUESTS,69,0,517,2,0
BOT_REQUESTS,69,1,517,1,1
BOT_REQUESTS,69,2,516,2,1
BOT_REQUESTS,69,3,514,3,2
BOT_REQUESTS,69,4,507,9,3
BOT_REQUESTS,69,5,458,53,8
BOT_REQUESTS,69,6,297,201,21
BOT_REQUESTS,70,0,517,2,0
BOT_REQUESTS,70,1,517,2,0
BOT_REQUESTS,70,2,516,3,0
BOT_REQUESTS,70,3,502,16,1
BOT_REQUESTS,70,4,454,60,5
BOT_REQUESTS,70,5,302,196,21
BOT_REQUESTS,70,6,202,238,79
BOT_REQUESTS,71,0,517,2,0
BOT_REQUESTS,71,1,516,3,0
BOT_REQUESTS,71,2,505,13,1
BOT_REQUESTS,71,3,415,101,3
BOT_REQUESTS,71,4,251,238,30
BOT_REQUESTS,71,5,171,237,111
BOT_REQUESTS,71,6,124,220,175
BOT_REQUESTS,72,0,517,2,0
BOT_REQUESTS,72,1,516,2,1
BOT_REQUESTS,72,2,510,8,1
BOT_REQUESTS,72,3,429,87,3
BOT_REQUESTS,72,4,270,216,33
BOT_REQUESTS,72,5,206,217,96
BOT_REQUESTS,72,6,176,169,174
BOT_REQUESTS,73,0,517,2,0
